lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
40,0,107.1,4,1,4,2,1,3,0,0
418,0,75.0,9,26,3,2,1,0,0,0
116,1,101.58,4,28,4,3,1,0,3,0
1,1,97.0,3,16,4,3,0,3,0,1
204,0,72.75,10,9,3,2,2,0,0,1
13,2,92.0,8,31,4,4,1,0,0,0
213,0,130.0,6,7,3,3,0,0,0,0
0,0,143.0,9,4,4,1,0,0,0,1
134,2,137.7,9,29,4,3,1,0,3,0
111,1,86.9,9,1,4,3,0,3,0,1
8,0,120.0,11,5,3,1,0,0,0,1
35,2,137.34,9,25,4,3,2,0,3,1
102,0,101.5,10,16,3,2,0,1,0,0
386,1,90.0,10,23,3,0,2,1,0,0
42,1,78.3,1,16,4,1,2,0,0,1
72,1,116.27,10,24,4,3,1,0,5,1
65,1,118.14,9,25,4,3,2,0,0,1
68,2,166.35,9,9,4,2,1,1,0,1
40,1,135.9,7,27,4,2,0,0,0,0
124,2,76.5,7,25,4,1,1,0,0,0
70,0,75.95,3,3,4,3,2,0,0,1
43,1,74.8,11,29,4,11,4,0,0,0
5,1,149.0,7,5,4,2,0,0,0,1
2,1,103.0,11,23,4,1,0,0,0,1
8,2,133.4,3,17,4,3,2,0,0,1
56,0,185.0,9,25,3,2,2,0,0,1
160,0,102.3,7,17,4,1,2,0,0,0
114,0,75.0,7,1,3,2,1,0,0,0
77,1,140.4,8,3,4,5,2,0,3,1
26,0,67.87,3,3,4,3,0,3,0,1
89,4,74.8,12,17,4,6,2,3,0,1
5,0,131.0,10,4,2,5,0,0,0,0
82,0,168.3,3,25,4,2,1,0,5,0
274,1,99.45,10,19,4,4,0,0,3,0
21,0,129.0,3,4,4,1,0,1,0,0
1,2,154.0,12,6,4,1,0,0,3,1
64,1,126.9,4,29,4,2,1,0,0,0
24,1,97.67,3,11,4,2,1,0,0,0
280,0,100.0,9,19,3,2,1,0,0,0
3,1,103.0,3,7,4,0,1,0,0,1
70,0,100.0,6,3,3,2,0,0,0,1
5,0,145.0,9,21,4,0,1,0,0,1
43,0,74.8,12,8,4,3,1,3,0,0
33,1,120.6,10,3,4,0,1,3,0,1
18,1,85.0,3,9,4,3,0,3,0,1
99,0,81.0,2,19,2,1,0,0,0,1
270,0,80.0,4,20,3,4,0,0,0,1
5,2,162.0,8,16,4,3,2,0,5,1
79,2,122.0,11,29,4,4,0,0,0,1
250,0,95.0,9,26,3,3,1,0,0,0
1,2,90.0,8,8,4,1,1,0,0,1
83,1,76.5,7,6,4,5,2,0,0,0
2,1,40.0,3,16,2,3,0,0,0,1
15,0,231.0,8,16,4,2,0,0,5,0
251,1,73.35,11,21,4,1,1,3,0,1
260,0,113.4,9,22,4,3,0,3,0,0
34,1,119.0,10,26,4,4,0,0,0,0
24,0,94.33,3,10,4,3,0,0,0,1
178,2,90.9,10,26,4,4,0,0,0,1
119,1,71.0,4,4,3,3,1,0,0,1
47,1,168.3,9,11,4,1,2,0,3,1
3,1,89.5,12,19,4,1,1,0,0,1
52,0,74.8,12,4,4,2,2,3,0,0
91,0,114.3,7,24,4,1,2,0,0,0
59,0,85.0,10,29,3,2,0,0,0,1
338,0,87.3,12,15,4,3,0,0,3,0
31,0,84.0,10,19,3,4,1,0,3,1
26,0,65.0,10,21,2,1,0,0,0,1
20,0,110.0,5,26,0,1,0,0,3,0
19,0,90.0,10,6,3,3,0,0,0,1
207,1,85.5,8,5,4,2,1,3,0,1
3,0,120.0,6,10,3,2,0,0,0,1
273,0,95.0,5,13,3,2,1,0,0,0
28,0,70.0,10,5,3,1,1,0,0,0
1,1,77.77,4,16,4,1,1,0,0,1
30,0,140.0,6,2,3,2,0,0,0,1
85,1,201.6,8,19,4,4,2,1,3,1
275,0,90.0,10,5,3,4,1,0,0,0
8,0,94.0,11,23,4,1,0,0,0,1
32,1,117.9,5,21,4,1,1,0,0,0
179,0,113.4,9,30,4,2,2,0,0,0
159,0,70.5,12,29,3,4,0,0,0,1
35,1,76.5,10,26,3,1,1,0,0,1
114,0,150.45,6,15,4,4,0,0,3,1
23,2,98.4,10,16,4,2,0,0,0,1
31,0,117.9,4,2,4,1,0,0,0,0
151,0,80.0,1,19,3,3,0,0,0,1
242,0,100.3,9,10,4,2,2,0,0,0
273,0,106.2,9,30,4,2,1,0,0,0
0,1,41.84,1,10,4,5,2,0,0,1
0,0,92.0,8,8,4,0,1,3,0,1
101,0,80.0,4,4,3,2,1,0,0,0
41,0,65.0,2,7,3,3,2,0,0,1
15,1,109.0,5,31,4,3,0,3,0,1
89,2,72.25,11,23,4,2,1,0,0,1
26,0,104.0,12,16,4,2,0,0,0,0
6,0,109.65,11,10,2,1,0,0,0,1
100,0,100.0,9,28,3,4,0,0,0,0
40,1,6.0,1,14,4,3,0,0,1,1
4,0,95.0,5,16,2,1,1,0,0,1
0,1,0.0,12,2,1,1,0,1,3,1
87,0,97.71,6,9,4,3,0,0,0,1
46,1,67.15,3,10,4,3,1,3,0,1
112,0,100.0,6,2,3,2,0,0,0,1
23,1,109.0,1,2,3,1,2,1,0,1
21,2,89.14,12,1,4,6,2,0,0,1
12,0,75.0,1,15,4,1,0,3,0,1
52,0,72.0,12,9,3,2,1,0,0,1
134,0,116.1,6,18,4,1,0,3,0,1
25,2,187.0,7,26,4,2,0,0,3,1
193,0,65.0,10,15,3,3,0,0,0,0
138,0,80.75,9,11,3,1,2,0,0,1
48,0,68.0,12,1,3,3,2,0,0,1
68,0,65.0,9,29,3,2,0,0,0,1
8,0,130.0,11,5,3,1,0,0,0,1
0,2,201.0,3,23,4,2,0,0,5,1
35,0,139.5,10,3,4,3,1,0,3,0
64,1,132.3,10,14,4,2,1,0,3,1
14,1,90.0,2,8,4,0,1,3,0,1
72,2,127.65,10,20,4,4,2,0,3,1
180,0,85.0,11,27,4,2,2,0,0,0
60,0,75.0,3,20,3,2,2,0,0,0
23,2,115.9,12,30,4,4,2,0,3,1
74,1,99.45,4,13,4,4,0,0,0,1
80,3,147.9,7,8,4,2,1,0,3,1
3,2,45.0,5,19,3,1,0,0,0,1
115,0,76.0,2,27,3,3,2,0,0,1
33,1,79.35,10,1,4,2,0,0,0,1
83,1,107.46,4,26,4,5,2,0,0,1
245,0,110.0,7,6,3,4,2,0,0,0
186,2,137.7,8,8,4,2,1,0,3,0
1,0,96.0,10,21,2,1,0,0,0,1
79,0,87.3,3,4,4,2,0,0,3,0
346,1,115.0,9,13,3,2,0,1,0,0
4,0,162.0,9,2,4,3,2,0,3,1
3,1,31.0,2,26,2,2,0,0,0,1
40,2,134.1,7,19,4,2,0,0,3,1
66,0,149.4,9,15,4,2,0,0,3,0
256,0,90.0,6,15,3,2,0,1,0,1
1,2,90.0,8,7,4,2,2,0,0,1
55,0,116.1,5,21,4,1,2,3,0,0
60,2,149.4,9,10,4,6,2,0,3,1
36,0,91.0,10,13,3,3,0,1,0,1
0,0,80.39,4,13,4,2,0,0,0,1
160,1,72.25,8,7,3,0,2,0,0,1
218,2,110.22,12,26,4,5,1,0,3,0
8,1,171.0,8,8,4,0,1,0,0,1
118,1,58.9,8,26,4,4,0,0,0,0
179,1,90.95,7,17,4,2,2,0,0,1
197,1,81.77,4,21,4,1,0,0,0,0
41,1,105.3,4,11,4,3,1,0,0,1
34,1,87.32,10,29,4,3,0,0,0,1
104,0,75.0,12,3,3,3,0,0,0,1
27,0,144.9,10,10,4,2,1,0,3,0
37,2,141.3,6,8,4,1,0,0,3,1
304,0,74.15,10,21,4,2,1,0,0,0
1,0,76.0,2,29,3,2,1,0,0,1
58,0,80.0,1,27,3,3,0,0,0,1
0,2,106.0,8,19,4,1,0,0,0,1
10,0,66.0,2,4,2,1,0,0,0,1
87,0,150.3,8,12,4,2,0,0,3,0
137,2,77.0,2,7,3,1,2,0,3,1
8,1,205.0,10,21,4,2,0,0,5,1
44,0,192.9,6,9,4,3,0,0,5,0
39,2,114.41,11,10,4,3,2,0,0,1
19,1,139.13,9,23,4,2,0,0,0,1
327,0,88.0,9,9,3,4,2,1,0,1
273,1,76.46,10,21,4,2,1,0,0,1
0,0,139.0,3,20,4,0,1,0,3,1
80,0,136.0,10,9,3,2,0,1,3,1
4,0,89.0,5,8,4,0,1,3,0,1
181,1,98.1,10,11,4,1,0,3,0,0
41,1,98.55,3,28,3,4,1,0,0,1
305,0,89.0,11,4,3,2,1,0,0,0
48,1,168.3,8,24,4,4,0,0,3,1
37,0,60.0,11,4,3,3,0,0,3,1
180,0,120.0,10,10,3,2,1,0,0,0
33,0,71.53,1,31,4,5,2,0,1,1
60,0,123.3,9,2,4,2,0,0,3,0
275,0,62.8,6,4,3,1,1,0,0,0
26,0,140.67,4,27,4,3,0,0,3,0
185,2,81.77,5,6,4,2,0,0,0,0
6,0,104.0,4,18,4,1,1,0,0,1
0,0,95.0,11,18,4,1,0,3,0,1
0,0,133.0,12,10,4,1,0,0,3,1
19,0,80.0,10,6,3,3,0,0,0,1
206,0,58.14,7,28,4,3,1,3,0,0
69,1,80.1,10,25,4,2,0,3,0,0
0,0,85.0,1,19,4,1,0,0,0,1
119,0,103.7,4,28,4,4,2,0,3,0
41,0,60.0,11,1,3,2,2,0,3,1
99,0,150.3,8,24,4,4,0,0,3,0
14,2,97.02,10,15,4,2,0,0,0,1
276,0,95.0,9,22,3,3,0,0,0,0
39,0,101.5,8,14,3,2,0,1,0,1
20,2,171.13,11,7,4,3,1,3,0,1
6,3,159.0,9,22,4,1,0,3,0,1
94,0,139.5,7,28,4,1,0,1,0,1
22,0,0.0,12,16,4,0,0,3,0,1
1,0,164.0,10,6,4,2,0,0,4,1
161,1,97.75,8,9,4,6,2,3,0,0
132,0,96.3,6,30,4,3,0,0,0,0
44,1,125.1,8,22,4,2,1,3,0,1
83,0,132.3,10,10,4,3,1,0,3,0
89,3,108.0,10,8,4,2,2,0,1,1
11,1,96.0,11,3,4,1,0,0,0,1
104,2,88.01,7,2,4,1,2,0,0,1
12,2,141.0,5,2,4,0,1,0,0,1
5,0,146.67,10,29,4,1,2,0,0,1
146,2,127.8,7,8,4,1,0,0,3,1
162,0,70.0,9,17,3,3,0,0,0,1
15,0,81.0,2,19,2,1,0,0,0,1
1,0,85.0,2,22,4,0,1,3,0,0
322,0,80.0,5,19,3,3,1,0,0,0
67,3,82.99,2,22,4,4,1,0,3,1
109,0,80.75,10,23,3,1,2,0,0,0
37,2,145.8,9,21,4,3,1,0,0,1
113,0,132.6,5,25,4,4,0,0,3,0
71,2,152.1,9,2,4,2,1,0,0,1
219,0,76.67,9,4,3,2,1,0,0,1
322,0,52.0,12,9,3,2,0,0,0,1
27,0,136.0,9,19,3,0,1,0,0,0
7,1,86.0,3,2,4,1,0,0,0,1
16,0,95.0,10,2,2,1,2,0,0,1
73,1,79.2,12,2,4,2,0,3,0,1
103,2,186.0,11,7,4,3,1,0,0,1
196,1,66.53,7,26,4,5,2,0,0,1
33,1,67.5,8,5,4,4,0,0,1,0
22,1,120.0,9,8,4,1,0,0,3,1
5,0,105.0,10,26,2,1,0,0,0,1
39,0,67.5,2,13,4,1,0,3,0,1
120,0,94.86,4,5,4,4,0,0,4,1
101,2,109.83,8,20,4,1,2,0,1,1
103,0,126.72,10,21,4,3,2,0,3,0
71,1,112.58,12,29,4,5,0,0,0,1
30,0,133.58,5,21,4,2,2,0,0,1
5,1,105.0,11,2,4,2,1,0,3,1
60,3,105.4,12,23,4,2,2,0,0,1
43,1,94.8,11,30,4,4,2,3,0,1
133,0,126.0,7,11,4,1,1,0,0,1
54,0,161.1,7,4,4,3,1,1,0,1
40,1,104.85,10,19,4,5,1,0,0,1
13,1,177.62,10,9,4,1,2,0,0,1
26,2,159.0,10,15,4,1,1,0,3,1
267,0,95.0,9,30,3,2,1,0,0,0
2,2,179.0,8,6,4,1,0,0,0,1
79,0,70.0,11,13,3,2,0,0,0,1
49,0,75.0,11,9,3,3,0,0,0,1
33,1,144.9,9,10,4,1,1,0,0,1
68,1,118.8,4,26,4,2,0,0,3,1
2,0,88.0,3,9,2,1,0,0,0,0
85,0,90.0,9,9,2,2,0,0,0,1
97,2,104.96,7,23,4,1,2,0,3,1
97,0,78.95,5,2,4,4,1,3,0,1
23,0,109.0,1,2,3,1,2,1,0,1
15,2,200.0,11,7,4,2,1,0,0,1
55,1,168.3,9,10,4,1,1,0,3,1
127,0,103.5,7,7,4,3,0,3,0,0
42,1,94.5,10,13,4,3,0,0,0,1
78,0,85.5,4,8,4,2,0,3,1,0
211,1,91.36,5,31,4,3,0,3,1,0
0,0,158.0,8,9,4,1,0,3,0,1
124,0,94.5,8,8,3,1,2,1,0,0
21,0,85.0,10,4,3,3,0,0,0,1
50,0,12.0,2,22,3,5,2,0,4,0
59,1,109.8,8,31,4,4,0,0,0,1
75,0,65.0,12,9,2,1,0,0,0,1
9,0,154.33,8,12,4,2,1,0,0,1
14,0,75.47,1,18,4,10,5,0,0,1
97,1,108.3,4,28,4,3,0,0,0,1
2,0,79.0,3,3,2,1,0,0,0,1
212,0,75.23,10,9,4,2,2,0,0,0
110,0,94.5,7,25,4,1,2,1,0,0
50,2,114.0,11,13,4,1,2,0,3,1
335,1,90.0,10,13,3,3,1,0,0,1
38,0,133.8,3,24,4,3,0,0,0,0
71,0,75.0,12,2,3,2,1,0,0,1
166,0,99.45,6,29,4,4,0,0,3,0
13,1,79.0,2,12,4,2,0,3,0,1
82,2,146.7,7,1,4,4,2,0,3,1
39,0,109.0,8,14,3,2,0,1,0,1
57,0,60.0,11,20,3,2,1,0,3,1
136,0,106.25,6,28,4,5,2,0,0,1
47,2,79.2,11,11,4,2,1,3,0,1
16,1,91.5,12,2,4,2,0,3,0,1
142,0,107.0,6,20,3,2,1,0,3,1
56,0,0.0,5,3,1,1,0,0,3,1
23,1,129.0,4,19,4,2,0,0,3,1
16,0,75.0,12,8,2,3,0,0,0,1
44,0,75.0,2,17,3,3,0,0,0,1
377,1,115.0,10,14,3,2,0,1,0,0
15,2,278.0,6,19,4,2,2,1,5,1
138,0,218.03,7,4,4,3,1,1,5,0
40,1,125.0,7,26,3,1,0,1,0,1
26,1,119.87,9,19,4,4,2,0,0,0
13,0,65.0,2,17,2,1,0,0,0,1
57,1,90.67,6,10,3,2,1,0,0,1
43,0,85.5,10,27,3,3,0,0,0,1
16,0,75.0,11,16,3,3,0,0,0,1
121,0,162.0,8,9,4,5,2,1,3,0
81,0,59.84,12,2,4,2,0,3,0,1
108,0,75.76,4,16,4,2,2,0,1,1
160,0,70.67,12,30,3,3,0,0,0,1
184,0,122.4,10,4,4,3,0,0,3,0
55,0,104.0,4,6,3,1,0,1,0,1
48,2,184.26,8,25,4,3,2,0,6,1
181,0,120.0,10,11,3,2,0,0,0,0
153,2,186.3,8,20,4,1,2,0,5,0
122,0,85.0,4,15,3,2,0,0,0,0
320,1,115.0,8,18,3,2,0,1,0,0
164,0,100.0,10,2,3,2,0,0,0,1
132,1,107.0,4,6,4,2,0,0,0,0
30,0,121.0,9,30,3,2,0,1,0,1
163,2,122.4,12,26,4,2,1,0,3,1
189,0,108.9,10,6,4,3,1,0,0,0
50,0,75.0,3,29,3,3,0,0,0,1
21,1,187.0,7,27,4,2,0,0,3,1
39,1,97.4,11,15,4,5,2,0,0,1
50,1,108.0,10,17,4,0,1,3,0,1
10,1,101.0,11,20,4,0,1,0,0,0
26,1,125.83,10,6,4,3,0,0,0,1
8,0,86.0,3,2,4,1,0,0,0,1
18,0,100.0,6,21,2,2,0,0,0,1
34,0,177.33,9,23,3,3,0,1,0,1
80,1,88.0,12,2,4,2,0,3,0,1
0,0,147.0,9,22,2,2,0,0,0,1
276,0,61.0,5,13,3,3,2,0,0,0
261,1,106.25,11,15,4,4,0,1,0,0
132,1,89.25,10,25,4,3,2,0,0,1
28,1,159.0,9,16,4,2,0,0,0,1
40,1,108.5,3,23,4,3,0,3,0,1
22,0,95.0,10,11,3,3,0,0,0,1
43,0,0.0,10,23,4,1,0,0,0,1
131,0,94.5,8,15,4,1,2,1,0,0
17,1,87.0,12,18,4,2,0,0,0,1
24,0,45.5,2,29,3,3,1,0,0,1
51,1,68.47,11,17,4,3,0,0,0,1
181,0,120.0,10,11,4,2,0,0,0,0
67,1,114.34,9,7,4,3,0,0,3,1
96,0,80.7,7,19,4,5,3,0,0,0
10,0,110.0,9,30,0,1,0,0,3,0
0,0,88.0,1,7,4,1,0,0,0,1
11,0,97.0,11,13,4,5,2,0,0,0
79,0,82.45,3,30,4,4,2,0,0,0
58,1,95.4,12,9,4,2,0,0,0,1
4,0,107.0,5,21,3,1,0,0,3,1
122,1,64.8,4,18,4,3,1,0,0,1
49,0,65.0,9,22,2,1,0,0,0,1
0,2,77.25,11,28,4,1,0,0,1,1
1,0,66.0,1,12,2,1,0,0,0,1
4,0,127.0,3,11,4,2,1,0,0,0
72,0,108.0,9,18,3,1,0,1,0,1
228,3,123.25,10,20,4,3,1,1,0,1
37,1,67.5,2,15,4,3,1,3,0,1
219,0,108.0,9,4,4,1,0,1,0,0
14,0,142.0,4,15,4,2,0,0,3,0
39,0,66.4,1,24,3,1,2,0,3,1
85,0,81.9,4,1,4,2,0,0,0,1
17,0,95.0,6,13,3,3,1,0,0,0
3,0,72.5,7,11,3,1,2,1,0,1
107,0,79.2,11,25,4,1,0,3,0,0
279,0,110.0,10,12,3,3,0,0,0,0
31,0,85.0,10,27,3,3,1,0,0,1
3,4,111.0,11,18,4,2,0,0,0,1
24,0,187.0,7,26,4,2,0,0,3,0
77,1,93.6,11,19,4,1,1,0,0,1
15,1,109.34,4,20,4,1,0,0,3,1
63,2,106.88,9,3,4,2,2,0,0,1
64,0,91.2,9,5,4,2,1,3,0,0
301,1,115.0,7,30,3,1,1,1,0,0
37,1,109.0,10,27,4,2,0,3,0,1
164,0,100.0,10,2,3,2,0,0,0,0
20,0,65.0,10,11,2,1,2,0,0,1
103,0,94.5,7,18,3,1,2,1,0,0
65,1,76.5,7,11,4,1,2,0,0,0
84,0,72.25,7,25,3,3,1,0,0,1
52,1,60.0,11,19,3,3,0,0,3,1
6,3,228.0,8,28,4,1,2,0,5,1
21,1,123.2,11,10,4,1,0,3,0,1
132,3,135.9,6,11,4,1,1,0,0,1
8,0,65.0,9,15,2,1,0,0,0,1
14,0,126.0,4,7,4,3,0,0,3,0
77,2,104.4,10,25,4,3,0,0,3,1
66,1,85.0,2,8,3,2,1,0,0,1
229,0,116.95,7,4,4,3,1,0,3,0
119,0,0.0,6,7,4,0,0,0,0,1
433,0,70.0,9,8,3,3,0,0,0,0
92,0,90.95,4,25,4,3,1,0,0,0
338,1,90.67,10,7,3,2,1,0,0,1
17,1,94.95,10,15,4,3,2,0,0,1
9,1,130.0,8,20,4,1,0,0,0,0
17,0,102.15,5,30,4,2,1,0,3,0
218,1,99.95,8,9,4,4,0,0,0,0
29,0,87.0,3,4,3,2,1,0,0,1
24,1,109.0,9,10,3,2,2,0,0,1
113,0,100.0,5,31,2,3,0,0,0,0
14,0,100.0,10,15,3,2,0,0,0,1
20,1,208.0,12,31,4,1,1,0,5,1
77,1,72.25,11,12,4,3,0,0,0,1
0,0,75.0,8,10,4,0,1,3,0,0
8,0,108.57,5,10,4,2,0,0,3,0
12,1,177.0,5,7,4,1,0,0,3,1
210,0,72.75,10,8,3,3,1,1,0,0
5,2,0.0,8,24,1,1,0,0,0,1
31,2,129.0,10,27,4,3,0,0,0,1
63,0,116.0,9,4,3,2,0,1,0,1
14,2,89.0,9,11,4,0,1,3,0,1
88,1,90.9,4,26,4,3,0,0,0,0
50,0,241.59,5,14,4,4,2,0,1,0
66,0,96.3,3,9,4,3,0,0,3,1
91,1,58.9,4,9,4,1,1,3,0,1
74,1,89.3,3,10,4,3,0,0,3,1
1,0,88.0,11,15,2,2,0,0,0,1
1,2,89.0,4,17,4,0,1,3,0,1
47,1,92.28,5,11,4,4,0,0,0,1
56,1,60.0,11,19,3,3,0,0,3,1
22,0,75.0,11,6,3,2,0,0,0,1
8,2,65.0,12,28,2,2,0,0,0,1
122,0,109.65,6,11,4,2,2,3,0,1
117,2,123.3,10,28,4,2,2,0,3,1
29,0,95.0,5,20,2,1,0,0,0,1
37,0,105.0,10,13,3,3,0,0,0,1
191,1,80.75,5,12,3,2,0,0,0,1
1,0,129.0,5,24,4,1,0,3,0,1
58,1,75.0,11,20,3,1,2,0,0,1
109,2,149.4,9,20,4,3,0,0,3,1
39,0,76.5,3,4,4,2,0,0,0,0
23,0,85.6,8,25,4,3,1,0,0,0
6,0,65.0,10,12,2,0,1,0,0,1
78,1,99.15,3,25,4,2,2,0,4,1
219,0,108.0,9,4,3,1,0,1,0,0
9,0,78.0,12,16,4,2,1,3,0,1
94,1,125.1,4,28,4,2,0,0,3,1
134,0,65.0,12,4,3,2,2,0,0,1
292,0,115.0,7,21,3,2,0,1,0,0
6,0,0.0,12,10,4,2,0,1,0,1
8,1,85.0,2,19,3,2,1,0,0,1
24,1,104.0,12,15,4,3,0,0,0,1
14,2,152.0,11,11,4,1,0,0,0,1
1,2,142.0,5,3,4,1,0,0,0,1
188,0,130.0,6,15,3,2,0,0,0,0
17,0,72.4,3,31,3,1,0,0,0,1
5,0,162.0,10,17,2,1,1,0,0,1
58,1,153.85,3,28,4,2,1,0,5,1
92,0,150.3,8,22,4,3,1,0,3,0
10,0,72.1,2,19,3,1,0,0,0,1
0,0,109.0,8,14,3,2,0,1,0,1
84,1,105.4,4,27,4,4,0,0,0,1
308,1,78.3,11,23,4,3,0,0,0,0
92,0,89.55,9,12,3,2,2,0,0,1
92,0,90.0,11,11,3,1,0,0,0,1
130,2,90.0,11,25,4,2,0,0,0,1
317,0,120.0,9,15,4,2,0,0,0,0
14,1,129.0,9,20,4,1,0,3,0,1
119,3,72.25,12,26,4,1,2,0,0,1
9,1,119.0,4,27,4,1,0,3,0,1
134,1,63.75,8,20,3,1,0,0,0,1
245,0,75.0,6,17,3,2,0,0,0,0
76,0,116.7,4,28,4,3,0,0,0,0
66,0,75.0,10,9,4,2,1,0,0,0
5,0,88.8,11,14,4,0,1,0,0,1
0,2,0.0,3,17,1,1,0,0,3,1
30,0,77.5,3,9,4,3,0,0,1,0
359,1,78.0,10,14,3,3,2,0,0,1
5,0,165.0,7,1,4,1,0,0,3,1
50,1,58.94,1,24,4,3,2,0,0,1
257,0,101.5,7,1,4,2,0,1,0,0
155,1,85.0,11,25,4,2,2,0,0,0
19,0,130.0,5,2,4,2,1,0,0,1
78,1,115.68,8,19,4,2,1,0,1,1
282,0,76.67,10,10,3,1,2,0,0,1
13,0,161.0,11,8,2,2,0,0,0,1
314,0,75.0,10,12,3,3,0,0,0,0
117,1,99.45,5,13,4,2,2,3,0,1
1,1,65.0,4,10,2,1,2,0,0,1
143,0,96.3,8,26,4,2,2,0,0,0
56,1,101.72,3,30,4,4,2,0,3,1
91,0,116.1,6,18,4,1,1,3,0,0
9,0,129.33,4,6,4,3,0,0,3,1
222,0,219.6,10,29,4,1,0,1,5,0
19,0,118.15,9,19,3,0,1,0,0,0
14,1,112.0,11,3,4,1,0,0,0,0
63,2,93.6,12,13,4,1,0,0,0,1
71,0,132.6,5,7,4,4,2,0,3,1
105,0,75.0,4,6,3,1,0,0,0,0
85,0,52.36,7,5,4,1,2,0,0,0
42,0,88.2,3,22,4,1,0,3,0,1
269,1,80.0,12,29,3,3,2,0,0,1
290,0,72.0,6,17,3,2,1,0,0,0
25,2,129.0,10,17,4,2,1,0,0,1
158,0,70.0,3,25,3,2,1,0,0,1
72,1,72.0,11,19,3,5,2,0,0,1
71,2,146.7,7,24,4,0,1,0,3,1
36,0,159.3,5,14,4,1,1,0,3,0
261,0,67.5,12,10,4,1,0,3,0,0
102,0,109.0,10,16,3,2,0,1,0,1
98,1,124.2,11,18,4,2,1,1,0,1
109,1,143.7,8,5,4,2,1,0,3,1
188,0,130.0,6,15,4,2,0,0,0,0
26,2,153.5,5,29,4,0,2,0,3,1
47,1,101.7,6,21,4,1,0,0,0,1
32,1,68.0,10,26,3,4,1,0,3,1
118,0,110.0,6,6,3,1,1,0,0,1
100,1,140.0,9,28,3,4,0,1,0,1
335,1,90.0,10,13,3,3,0,0,0,1
33,1,84.15,11,11,4,2,2,3,0,0
144,1,96.3,6,27,4,2,1,0,0,1
60,1,106.2,4,1,4,2,1,0,3,1
58,2,138.6,12,24,4,1,0,0,3,1
